Time,main.q1_base,main.q1_collector,main.v_in
1.000000e-06,-1.022992e+00,-2.375916e-01,-1.030000e+00
2.200000e-06,-1.019114e+00,-2.329129e-01,-1.029874e+00
3.640000e-06,-1.014580e+00,-2.296299e-01,-1.029724e+00
5.368000e-06,-1.009359e+00,-2.263606e-01,-1.029543e+00
7.441600e-06,-1.003419e+00,-2.226401e-01,-1.029326e+00
9.929920e-06,-9.967400e-01,-2.184704e-01,-1.029065e+00
1.291590e-05,-9.893250e-01,-2.139485e-01,-1.028753e+00
1.649908e-05,-9.812125e-01,-2.091752e-01,-1.028379e+00
2.079890e-05,-9.724850e-01,-2.042896e-01,-1.027930e+00
2.595868e-05,-9.632775e-01,-1.994540e-01,-1.027394e+00
3.215042e-05,-9.537805e-01,-1.949087e-01,-1.026752e+00
3.958050e-05,-9.442368e-01,-1.909362e-01,-1.025987e+00
4.849660e-05,-9.349315e-01,-1.878578e-01,-1.025077e+00
5.849660e-05,-9.264244e-01,-1.860416e-01,-1.024000e+00
6.849660e-05,-9.193424e-01,-1.856385e-01,-1.022813e+00
7.849660e-05,-9.137763e-01,-1.864720e-01,-1.021656e+00
8.849660e-05,-9.095044e-01,-1.882551e-01,-1.020531e+00
9.849660e-05,-9.062853e-01,-1.907396e-01,-1.019443e+00
1.084966e-04,-9.039087e-01,-1.937224e-01,-1.018398e+00
1.184966e-04,-9.022053e-01,-1.970400e-01,-1.017398e+00
1.284966e-04,-9.010425e-01,-2.005621e-01,-1.016447e+00
1.384966e-04,-9.003174e-01,-2.041569e-01,-1.015551e+00
1.484966e-04,-8.999499e-01,-2.077353e-01,-1.014711e+00
1.584966e-04,-8.998770e-01,-2.111998e-01,-1.013931e+00
1.684966e-04,-9.000491e-01,-2.144523e-01,-1.013215e+00
1.784966e-04,-9.004263e-01,-2.174564e-01,-1.012566e+00
1.884966e-04,-9.009763e-01,-2.201379e-01,-1.011985e+00
1.984966e-04,-9.016726e-01,-2.224627e-01,-1.011475e+00
2.084966e-04,-9.024936e-01,-2.244185e-01,-1.011038e+00
2.184966e-04,-9.034210e-01,-2.260145e-01,-1.010676e+00
2.284966e-04,-9.044393e-01,-2.272776e-01,-1.010391e+00
2.384966e-04,-9.055354e-01,-2.282476e-01,-1.010182e+00
2.484966e-04,-9.066981e-01,-2.289719e-01,-1.010052e+00
2.584966e-04,-9.079175e-01,-2.294995e-01,-1.010001e+00
2.684966e-04,-9.091849e-01,-2.298779e-01,-1.010028e+00
2.784966e-04,-9.104927e-01,-2.301500e-01,-1.010135e+00
2.884966e-04,-9.118341e-01,-2.303528e-01,-1.010320e+00
2.984966e-04,-9.132031e-01,-2.305168e-01,-1.010582e+00
3.084966e-04,-9.145941e-01,-2.306667e-01,-1.010921e+00
3.184966e-04,-9.160024e-01,-2.308216e-01,-1.011336e+00
3.284966e-04,-9.174233e-01,-2.309960e-01,-1.011824e+00
3.384966e-04,-9.188530e-01,-2.312005e-01,-1.012384e+00
3.484966e-04,-9.202877e-01,-2.314424e-01,-1.013013e+00
3.584966e-04,-9.217240e-01,-2.317269e-01,-1.013709e+00
3.684966e-04,-9.231589e-01,-2.320570e-01,-1.014470e+00
3.784966e-04,-9.245895e-01,-2.324345e-01,-1.015292e+00
3.884966e-04,-9.260134e-01,-2.328597e-01,-1.016172e+00
3.984966e-04,-9.274282e-01,-2.333327e-01,-1.017107e+00
4.084966e-04,-9.288317e-01,-2.338525e-01,-1.018092e+00
4.184966e-04,-9.302219e-01,-2.344180e-01,-1.019124e+00
4.284966e-04,-9.315971e-01,-2.350278e-01,-1.020200e+00
4.384966e-04,-9.329556e-01,-2.356803e-01,-1.021314e+00
4.484966e-04,-9.342959e-01,-2.363740e-01,-1.022462e+00
4.584966e-04,-9.356168e-01,-2.371071e-01,-1.023640e+00
