Time,main.ac_in1,main.ac_in2,main.dc_out
1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
2.200000e-05,3.997632e-02,-3.542178e-02,3.071819e-08
3.400000e-05,8.939263e-02,-7.648214e-02,1.500622e-07
4.840000e-05,1.377919e-01,-1.185572e-01,4.804233e-07
6.568000e-05,1.902745e-01,-1.746389e-01,1.500089e-06
8.296000e-05,2.510445e-01,-2.441359e-01,4.876230e-06
1.002400e-04,3.139171e-01,-3.115158e-01,1.623245e-05
1.175200e-04,3.782569e-01,-3.774100e-01,5.549911e-05
1.348000e-04,4.431667e-01,-4.427119e-01,1.928572e-04
1.520800e-04,5.084121e-01,-5.076522e-01,6.739779e-04
1.693600e-04,5.744784e-01,-5.717416e-01,2.341514e-03
1.900960e-04,6.424921e-01,-6.338498e-01,8.632765e-03
2.108320e-04,7.320221e-01,-7.004162e-01,3.160297e-02
2.315680e-04,8.391948e-01,-7.492789e-01,8.992316e-02
2.523040e-04,9.670137e-01,-7.774281e-01,1.895849e-01
2.730400e-04,1.109729e+00,-7.906067e-01,3.191219e-01
2.979232e-04,1.264665e+00,-7.914844e-01,4.731801e-01
3.228064e-04,1.446700e+00,-7.963094e-01,6.503905e-01
3.476896e-04,1.632232e+00,-7.975013e-01,8.347298e-01
3.775494e-04,1.823418e+00,-7.928901e-01,1.030527e+00
4.074093e-04,2.043311e+00,-7.966744e-01,1.246636e+00
4.372691e-04,2.265790e+00,-7.976240e-01,1.468165e+00
4.731009e-04,2.493938e+00,-7.926341e-01,1.701303e+00
5.089327e-04,2.756848e+00,-7.971298e-01,1.959718e+00
5.447645e-04,3.022867e+00,-7.980671e-01,2.224799e+00
5.877627e-04,3.294815e+00,-7.925907e-01,2.502224e+00
6.307609e-04,3.608794e+00,-7.976921e-01,2.811101e+00
6.737591e-04,3.926268e+00,-7.984935e-01,3.127774e+00
7.253569e-04,4.249645e+00,-7.925303e-01,3.457114e+00
7.872742e-04,4.629753e+00,-7.920989e-01,3.837653e+00
8.491916e-04,5.076386e+00,-7.991880e-01,4.277198e+00
9.234924e-04,5.534277e+00,-7.927962e-01,4.741481e+00
9.977933e-04,6.066424e+00,-7.992743e-01,5.267149e+00
1.072094e-03,6.601453e+00,-7.991290e-01,5.802323e+00
1.146395e-03,7.132952e+00,-7.984815e-01,6.334470e+00
1.235556e-03,7.666285e+00,-7.916784e-01,6.874606e+00
1.335556e-03,8.288803e+00,-7.948893e-01,7.493913e+00
1.435556e-03,8.977414e+00,-7.995718e-01,8.177842e+00
1.535556e-03,9.662163e+00,-7.984687e-01,8.863693e+00
1.635556e-03,1.033637e+01,-7.975848e-01,9.538783e+00
1.735556e-03,1.099914e+01,-7.971437e-01,1.020200e+01
1.835556e-03,1.165020e+01,-7.967749e-01,1.085343e+01
1.935556e-03,1.228904e+01,-7.963502e-01,1.149269e+01
2.035556e-03,1.291503e+01,-7.958580e-01,1.211917e+01
2.135556e-03,1.352754e+01,-7.953037e-01,1.273224e+01
2.235556e-03,1.412599e+01,-7.946890e-01,1.333130e+01
2.335556e-03,1.470977e+01,-7.940130e-01,1.391575e+01
2.435556e-03,1.527831e+01,-7.932741e-01,1.448504e+01
2.535556e-03,1.583106e+01,-7.924706e-01,1.503859e+01
2.635556e-03,1.636746e+01,-7.916008e-01,1.557586e+01
2.735556e-03,1.688701e+01,-7.906625e-01,1.609634e+01
2.835556e-03,1.738917e+01,-7.896536e-01,1.659952e+01
2.935556e-03,1.787347e+01,-7.885715e-01,1.708490e+01
3.035556e-03,1.833943e+01,-7.874135e-01,1.755202e+01
3.135556e-03,1.878659e+01,-7.861763e-01,1.800042e+01
3.235556e-03,1.921452e+01,-7.848566e-01,1.842966e+01
3.335556e-03,1.962280e+01,-7.834503e-01,1.883935e+01
3.435556e-03,2.001103e+01,-7.819532e-01,1.922908e+01
3.535556e-03,2.037884e+01,-7.803602e-01,1.959848e+01
3.635556e-03,2.072586e+01,-7.786659e-01,1.994720e+01
3.735556e-03,2.105177e+01,-7.768640e-01,2.027491e+01
3.835556e-03,2.135626e+01,-7.749473e-01,2.058131e+01
3.935556e-03,2.163902e+01,-7.729080e-01,2.086611e+01
4.035556e-03,2.189980e+01,-7.707366e-01,2.112906e+01
4.135556e-03,2.213835e+01,-7.684227e-01,2.136993e+01
4.235556e-03,2.235445e+01,-7.659542e-01,2.158849e+01
4.335556e-03,2.254790e+01,-7.633167e-01,2.178458e+01
4.435556e-03,2.271853e+01,-7.604939e-01,2.195803e+01
4.535556e-03,2.286619e+01,-7.574640e-01,2.210873e+01
4.635556e-03,2.299077e+01,-7.542073e-01,2.223656e+01
4.735556e-03,2.309217e+01,-7.506956e-01,2.234147e+01
4.835556e-03,2.317033e+01,-7.468954e-01,2.242343e+01
4.935556e-03,2.322521e+01,-7.427661e-01,2.248245e+01
5.035556e-03,2.325682e+01,-7.382577e-01,2.251856e+01
5.135556e-03,2.326519e+01,-7.333079e-01,2.253189e+01
5.235556e-03,2.325040e+01,-7.278378e-01,2.252256e+01
5.335556e-03,2.321257e+01,-7.217460e-01,2.249082e+01
5.435556e-03,2.315187e+01,-7.149003e-01,2.243696e+01
5.535556e-03,2.306854e+01,-7.071250e-01,2.236142e+01
5.635556e-03,2.296292e+01,-6.981830e-01,2.226474e+01
5.735556e-03,2.283544e+01,-6.877463e-01,2.214769e+01
5.835556e-03,2.268670e+01,-6.753650e-01,2.201133e+01
5.935556e-03,2.251747e+01,-6.604080e-01,2.185705e+01
6.035556e-03,2.232882e+01,-6.420027e-01,2.168680e+01
