Time,main.led_anode,main.light_bus,main.pt_collector
6.250000e-07,1.765543e+00,1.661667e-01,4.051995e+00
1.375000e-06,1.766158e+00,1.682486e-01,4.071227e+00
2.275000e-06,1.766887e+00,1.707491e-01,4.060145e+00
3.355000e-06,1.767748e+00,1.737525e-01,4.043725e+00
4.651000e-06,1.768764e+00,1.773603e-01,4.023931e+00
6.206200e-06,1.769956e+00,1.816948e-01,4.000150e+00
8.072440e-06,1.771352e+00,1.869026e-01,3.971569e+00
9.938680e-06,1.772979e+00,1.931602e-01,3.937230e+00
1.217817e-05,1.774556e+00,1.994252e-01,3.902802e+00
1.486555e-05,1.776385e+00,2.069508e-01,3.861478e+00
1.809042e-05,1.778496e+00,2.159892e-01,3.811825e+00
2.196025e-05,1.780917e+00,2.268406e-01,3.752197e+00
2.660405e-05,1.783672e+00,2.398609e-01,3.680635e+00
3.217662e-05,1.786784e+00,2.554678e-01,3.594840e+00
3.886369e-05,1.790267e+00,2.741461e-01,3.492145e+00
4.688818e-05,1.794127e+00,2.964464e-01,3.369519e+00
5.651757e-05,1.798357e+00,3.229757e-01,3.223626e+00
6.807284e-05,1.802935e+00,3.543665e-01,3.050986e+00
8.193916e-05,1.807817e+00,3.912135e-01,2.848333e+00
9.857874e-05,1.812934e+00,4.339486e-01,2.613291e+00
1.185462e-04,1.818182e+00,4.826157e-01,2.345622e+00
1.425072e-04,1.823409e+00,5.364798e-01,2.049367e+00
1.712604e-04,1.828394e+00,5.933831e-01,1.736397e+00
2.057643e-04,1.832809e+00,6.487392e-01,1.431935e+00
2.471689e-04,1.836158e+00,6.940945e-01,1.182478e+00
2.968544e-04,1.837657e+00,7.153726e-01,1.065444e+00
3.468544e-04,1.835983e+00,6.915072e-01,1.196697e+00
3.968544e-04,1.830271e+00,6.155921e-01,1.614225e+00
4.468544e-04,1.819703e+00,4.953494e-01,2.275559e+00
4.968544e-04,1.801654e+00,3.433771e-01,3.111407e+00
5.468544e-04,1.768960e+00,1.765718e-01,4.028839e+00
5.968544e-04,1.669512e+00,2.377496e-02,4.869231e+00
6.468544e-04,1.070795e+00,1.296405e-07,5.000037e+00
6.968544e-04,5.068935e-01,1.429728e-12,4.999998e+00
7.468544e-04,1.380908e-01,7.411538e-16,4.999995e+00
7.968544e-04,4.882679e-04,-2.117582e-17,4.999999e+00
8.468544e-04,1.075553e-01,3.599890e-16,5.000000e+00
8.968544e-04,4.488115e-01,4.411559e-13,5.000000e+00
9.468544e-04,9.908522e-01,2.570010e-08,5.000000e+00
9.968544e-04,1.631709e+00,1.106568e-02,4.939143e+00
1.046854e-03,2.450592e+00,9.716527e-13,4.999991e+00
1.096854e-03,1.799578e+00,3.225846e-01,3.225919e+00
1.136854e-03,1.817917e+00,4.776669e-01,2.372764e+00
1.184854e-03,1.827157e+00,5.808272e-01,1.805440e+00
1.234854e-03,1.834295e+00,6.694983e-01,1.317768e+00
1.284854e-03,1.837483e+00,7.129425e-01,1.078810e+00
1.334854e-03,1.836737e+00,7.021612e-01,1.138100e+00
1.384854e-03,1.832041e+00,6.382303e-01,1.489716e+00
1.434854e-03,1.822761e+00,5.276546e-01,2.097881e+00
1.484854e-03,1.806820e+00,3.819340e-01,2.899344e+00
1.534854e-03,1.779135e+00,2.168355e-01,3.807388e+00
1.584854e-03,1.711405e+00,5.553591e-02,4.694542e+00
1.634854e-03,1.229351e+00,3.211227e-06,5.000011e+00
1.684854e-03,6.262354e-01,1.601204e-11,5.000009e+00
1.734854e-03,2.065226e-01,3.218725e-15,4.999993e+00
1.784854e-03,1.131134e-02,4.235165e-17,4.999998e+00
1.834854e-03,5.971026e-02,8.470329e-17,5.000000e+00
1.884854e-03,3.469817e-01,5.607358e-14,5.000000e+00
1.934854e-03,8.450056e-01,1.341964e-09,5.000000e+00
1.984854e-03,1.501525e+00,7.933402e-04,4.995637e+00
2.034854e-03,1.747927e+00,1.164086e-01,4.359799e+00
2.084854e-03,1.792133e+00,2.830302e-01,3.443356e+00
2.134854e-03,1.814098e+00,4.426553e-01,2.565401e+00
2.184854e-03,1.827129e+00,5.761619e-01,1.831112e+00
2.234854e-03,1.834294e+00,6.694985e-01,1.317756e+00
2.284854e-03,1.837483e+00,7.129425e-01,1.078809e+00
2.334854e-03,1.836737e+00,7.021612e-01,1.138100e+00
2.384854e-03,1.832041e+00,6.382303e-01,1.489717e+00
2.434854e-03,1.822761e+00,5.276546e-01,2.097881e+00
2.484854e-03,1.806820e+00,3.819340e-01,2.899344e+00
2.534854e-03,1.779135e+00,2.168355e-01,3.807388e+00
2.584854e-03,1.711405e+00,5.553591e-02,4.694542e+00
2.634854e-03,1.229351e+00,3.211228e-06,5.000011e+00
2.684854e-03,6.262354e-01,1.601206e-11,5.000009e+00
2.734854e-03,2.065226e-01,3.218725e-15,4.999993e+00
2.784854e-03,1.131134e-02,-2.117582e-17,4.999998e+00
2.834854e-03,5.971025e-02,1.058791e-16,5.000000e+00
2.884854e-03,3.469817e-01,5.609476e-14,5.000000e+00
2.934854e-03,8.450056e-01,1.341964e-09,5.000000e+00
2.984854e-03,1.501525e+00,7.933399e-04,4.995637e+00
3.034854e-03,1.747927e+00,1.164085e-01,4.359799e+00
3.084854e-03,1.792133e+00,2.830301e-01,3.443356e+00
3.134854e-03,1.814098e+00,4.426553e-01,2.565401e+00
3.184854e-03,1.827129e+00,5.761619e-01,1.831112e+00
3.234854e-03,1.834294e+00,6.694985e-01,1.317756e+00
3.284854e-03,1.837483e+00,7.129425e-01,1.078809e+00
3.334854e-03,1.836737e+00,7.021612e-01,1.138100e+00
3.384854e-03,1.832041e+00,6.382303e-01,1.489717e+00
3.434854e-03,1.822761e+00,5.276546e-01,2.097881e+00
3.484854e-03,1.806820e+00,3.819340e-01,2.899344e+00
3.534854e-03,1.779135e+00,2.168355e-01,3.807388e+00
3.584854e-03,1.711405e+00,5.553592e-02,4.694542e+00
3.634854e-03,1.229351e+00,3.211229e-06,5.000011e+00
3.684854e-03,6.262354e-01,1.601201e-11,5.000009e+00
