Time,main.q1_base,main.q1_collector
1.562500e-08,1.030238e+00,5.600092e+00
1.953125e-08,1.030207e+00,2.724528e+00
2.187500e-08,1.030188e+00,1.093350e+00
2.257812e-08,1.030183e+00,6.122239e-01
2.300000e-08,1.030180e+00,3.718558e-01
2.342187e-08,1.030177e+00,3.201744e-01
2.384375e-08,1.030174e+00,3.178464e-01
2.426562e-08,1.030171e+00,3.192225e-01
2.477187e-08,1.030167e+00,3.199555e-01
2.537937e-08,1.030163e+00,3.200869e-01
2.610837e-08,1.030159e+00,3.200778e-01
2.698317e-08,1.030153e+00,3.200629e-01
2.803293e-08,1.030146e+00,3.200547e-01
2.929265e-08,1.030138e+00,3.200476e-01
3.080430e-08,1.030128e+00,3.200392e-01
3.261829e-08,1.030116e+00,3.200291e-01
3.479507e-08,1.030102e+00,3.200169e-01
3.740721e-08,1.030085e+00,3.200023e-01
4.054177e-08,1.030065e+00,3.199848e-01
4.430325e-08,1.030041e+00,3.199638e-01
4.881703e-08,1.030011e+00,3.199389e-01
5.423356e-08,1.029976e+00,3.199087e-01
6.073340e-08,1.029934e+00,3.198724e-01
6.853320e-08,1.029884e+00,3.198290e-01
7.789297e-08,1.029823e+00,3.197768e-01
8.912469e-08,1.029750e+00,3.197143e-01
1.026027e-07,1.029663e+00,3.196393e-01
1.187764e-07,1.029558e+00,3.195494e-01
1.381848e-07,1.029433e+00,3.194415e-01
1.614749e-07,1.029282e+00,3.193122e-01
1.894230e-07,1.029102e+00,3.191572e-01
2.229608e-07,1.028886e+00,3.189715e-01
2.632060e-07,1.028627e+00,3.187489e-01
3.115004e-07,1.028316e+00,3.184824e-01
3.694536e-07,1.027944e+00,3.181632e-01
4.389974e-07,1.027499e+00,3.177813e-01
5.224500e-07,1.026967e+00,3.173245e-01
6.225932e-07,1.026330e+00,3.167784e-01
7.427649e-07,1.025569e+00,3.161262e-01
8.869710e-07,1.024660e+00,3.153479e-01
1.060018e-06,1.023577e+00,3.144203e-01
1.267675e-06,1.022285e+00,3.133162e-01
1.516863e-06,1.020748e+00,3.120040e-01
1.815889e-06,1.018923e+00,3.104476e-01
2.174720e-06,1.016760e+00,3.086057e-01
2.605317e-06,1.014202e+00,3.064323e-01
3.122034e-06,1.011186e+00,3.038759e-01
3.742094e-06,1.007642e+00,3.008811e-01
4.486166e-06,1.003496e+00,2.973894e-01
5.379052e-06,9.986686e-01,2.933415e-01
6.450515e-06,9.930816e-01,2.886807e-01
7.736271e-06,9.866610e-01,2.833580e-01
9.279179e-06,9.793439e-01,2.773382e-01
1.113067e-05,9.710849e-01,2.707299e-01
1.335245e-05,9.618729e-01,2.633654e-01
1.601860e-05,9.517403e-01,2.553929e-01
1.921797e-05,9.407714e-01,2.470853e-01
2.305722e-05,9.291248e-01,2.384172e-01
2.766432e-05,9.170278e-01,2.299054e-01
3.319283e-05,9.047849e-01,2.217871e-01
3.872135e-05,8.940095e-01,2.150874e-01
4.424986e-05,8.848787e-01,2.101039e-01
4.977838e-05,8.772826e-01,2.063656e-01
5.530690e-05,8.710048e-01,2.038677e-01
6.083541e-05,8.658295e-01,2.022890e-01
6.636393e-05,8.615617e-01,2.025153e-01
7.299815e-05,8.576160e-01,2.023104e-01
8.095921e-05,8.540035e-01,2.028153e-01
9.051249e-05,8.508006e-01,2.040034e-01
1.005125e-04,8.483750e-01,2.059425e-01
1.105125e-04,8.466859e-01,2.081623e-01
1.205125e-04,8.455957e-01,2.107193e-01
1.305125e-04,8.449808e-01,2.132269e-01
1.405125e-04,8.447290e-01,2.157075e-01
1.505125e-04,8.447495e-01,2.179655e-01
1.605125e-04,8.449720e-01,2.202687e-01
1.705125e-04,8.453436e-01,2.225189e-01
1.805125e-04,8.458244e-01,2.247030e-01
1.905125e-04,8.463849e-01,2.268126e-01
2.005125e-04,8.470030e-01,2.288084e-01
2.105125e-04,8.476625e-01,2.307298e-01
2.205125e-04,8.483510e-01,2.326951e-01
2.305125e-04,8.490596e-01,2.346792e-01
2.405125e-04,8.497817e-01,2.366777e-01
2.505125e-04,8.505122e-01,2.389012e-01
2.605125e-04,8.512485e-01,2.408501e-01
2.705125e-04,8.519879e-01,2.430884e-01
2.805125e-04,8.527273e-01,2.469206e-01
2.905125e-04,8.534672e-01,2.492944e-01
3.005125e-04,8.542080e-01,2.517928e-01
3.105125e-04,8.549497e-01,2.543529e-01
3.205125e-04,8.556925e-01,2.570118e-01
3.305125e-04,8.564369e-01,2.597783e-01
3.405125e-04,8.571835e-01,2.626616e-01
3.505125e-04,8.579329e-01,2.656711e-01
3.605125e-04,8.586858e-01,2.689770e-01
3.705125e-04,8.594429e-01,2.723320e-01
3.805125e-04,8.602053e-01,2.758516e-01
3.905125e-04,8.609736e-01,2.797473e-01
4.005125e-04,8.617487e-01,2.837288e-01
4.105125e-04,8.625313e-01,2.881356e-01
4.205125e-04,8.633223e-01,2.926759e-01
4.305125e-04,8.641224e-01,2.977313e-01
4.405125e-04,8.649322e-01,3.029706e-01
4.505125e-04,8.657524e-01,3.088448e-01
4.605125e-04,8.665831e-01,3.152637e-01
4.705125e-04,8.674249e-01,3.222660e-01
4.805125e-04,8.682777e-01,3.302214e-01
4.905125e-04,8.691418e-01,3.386988e-01
5.005125e-04,8.700172e-01,3.481948e-01
5.105125e-04,8.709043e-01,3.582057e-01
5.205125e-04,8.718035e-01,3.687324e-01
5.305125e-04,8.727157e-01,3.795610e-01
5.405125e-04,8.736426e-01,3.896044e-01
5.505125e-04,8.745870e-01,3.983675e-01
5.605125e-04,8.755511e-01,4.057071e-01
5.705125e-04,8.765387e-01,4.103193e-01
5.805125e-04,8.775531e-01,4.121488e-01
5.905125e-04,8.785943e-01,4.137781e-01
6.005125e-04,8.796613e-01,4.150107e-01
6.105125e-04,8.807531e-01,4.156725e-01
6.205125e-04,8.818871e-01,3.998692e-01
6.305125e-04,8.830618e-01,3.864718e-01
6.405125e-04,8.842741e-01,3.721498e-01
6.505125e-04,8.855180e-01,3.593858e-01
6.605125e-04,8.867870e-01,3.484917e-01
6.705125e-04,8.880748e-01,3.399414e-01
6.805125e-04,8.893766e-01,3.330515e-01
6.905125e-04,8.906888e-01,3.274694e-01
7.005125e-04,8.920088e-01,3.231983e-01
7.105125e-04,8.933344e-01,3.201395e-01
7.205125e-04,8.946650e-01,3.170174e-01
7.305125e-04,8.959998e-01,3.145857e-01
7.405125e-04,8.973379e-01,3.126328e-01
7.505125e-04,8.986788e-01,3.109080e-01
7.605125e-04,9.000214e-01,3.096090e-01
7.705125e-04,9.013655e-01,3.083332e-01
7.805125e-04,9.027100e-01,3.073759e-01
7.905125e-04,9.040541e-01,3.065882e-01
8.005125e-04,9.053967e-01,3.062418e-01
8.105125e-04,9.067372e-01,3.056534e-01
8.205125e-04,9.080746e-01,3.053728e-01
8.305125e-04,9.094081e-01,3.049176e-01
8.405125e-04,9.107366e-01,3.048877e-01
8.505125e-04,9.120588e-01,3.050297e-01
8.605125e-04,9.133741e-01,3.048505e-01
8.705125e-04,9.146814e-01,3.050567e-01
8.805125e-04,9.159796e-01,3.053730e-01
8.905125e-04,9.172677e-01,3.057221e-01
9.005125e-04,9.185450e-01,3.059791e-01
9.105125e-04,9.198107e-01,3.063109e-01
9.205125e-04,9.210635e-01,3.069621e-01
9.305125e-04,9.223030e-01,3.073007e-01
9.405125e-04,9.235282e-01,3.080635e-01
9.505125e-04,9.247383e-01,3.086467e-01
9.605125e-04,9.259327e-01,3.095052e-01
9.705125e-04,9.271107e-01,3.102082e-01
9.805125e-04,9.282720e-01,3.109705e-01
9.905125e-04,9.294159e-01,3.118115e-01
1.000512e-03,9.305423e-01,3.123847e-01
1.010512e-03,9.316501e-01,3.136008e-01
1.020512e-03,9.327397e-01,3.142584e-01
1.030512e-03,9.338102e-01,3.154815e-01
1.040512e-03,9.348616e-01,3.165079e-01
1.050512e-03,9.358942e-01,3.173107e-01
1.060512e-03,9.369074e-01,3.185140e-01
1.070512e-03,9.379016e-01,3.194856e-01
1.080512e-03,9.388762e-01,3.209212e-01
1.090512e-03,9.398318e-01,3.220569e-01
1.100512e-03,9.407684e-01,3.233448e-01
1.110512e-03,9.416867e-01,3.243506e-01
1.120512e-03,9.425867e-01,3.257047e-01
1.130512e-03,9.434686e-01,3.271981e-01
1.140512e-03,9.443328e-01,3.286612e-01
1.150512e-03,9.451800e-01,3.300678e-01
1.160512e-03,9.460107e-01,3.315265e-01
1.170512e-03,9.468255e-01,3.332402e-01
1.180512e-03,9.476251e-01,3.347044e-01
1.190512e-03,9.484103e-01,3.363185e-01
1.200512e-03,9.491817e-01,3.381563e-01
1.210512e-03,9.499398e-01,3.401908e-01
1.220512e-03,9.506858e-01,3.419792e-01
1.230512e-03,9.514205e-01,3.440619e-01
1.240512e-03,9.521448e-01,3.461464e-01
1.250512e-03,9.528599e-01,3.481519e-01
1.260512e-03,9.535668e-01,3.502444e-01
