Time,main.q1_base,main.q1_collector
3.906250e-09,1.030174e+00,3.267140e+00
7.812500e-09,1.030144e+00,1.176568e+00
9.765625e-09,1.030130e+00,5.580646e-01
1.074219e-08,1.030124e+00,4.469558e-01
1.171875e-08,1.030116e+00,4.221133e-01
1.269531e-08,1.030109e+00,4.097159e-01
1.367188e-08,1.030102e+00,4.013525e-01
1.464844e-08,1.030095e+00,3.949604e-01
1.562500e-08,1.030088e+00,3.896431e-01
1.660156e-08,1.030081e+00,3.854543e-01
1.757813e-08,1.030074e+00,3.820007e-01
1.855469e-08,1.030067e+00,3.788419e-01
1.953125e-08,1.030060e+00,3.760585e-01
2.050781e-08,1.030052e+00,3.732124e-01
2.148438e-08,1.030045e+00,3.709159e-01
2.246094e-08,1.030038e+00,3.693087e-01
2.343750e-08,1.030031e+00,3.674175e-01
2.441406e-08,1.030024e+00,3.653943e-01
2.558594e-08,1.030016e+00,3.635612e-01
2.699219e-08,1.030007e+00,3.614663e-01
2.867969e-08,1.029996e+00,3.593224e-01
3.070469e-08,1.029982e+00,3.568149e-01
3.313469e-08,1.029966e+00,3.541740e-01
3.556469e-08,1.029950e+00,3.517312e-01
3.799469e-08,1.029932e+00,3.496387e-01
4.091069e-08,1.029913e+00,3.473191e-01
4.440989e-08,1.029890e+00,3.448330e-01
4.860893e-08,1.029863e+00,3.423987e-01
5.364778e-08,1.029830e+00,3.394885e-01
5.868662e-08,1.029796e+00,3.371654e-01
6.372547e-08,1.029761e+00,3.345824e-01
6.876432e-08,1.029727e+00,3.325866e-01
7.380317e-08,1.029692e+00,3.306826e-01
7.884202e-08,1.029658e+00,3.289627e-01
8.388086e-08,1.029623e+00,3.274101e-01
8.891971e-08,1.029589e+00,3.260104e-01
9.395856e-08,1.029555e+00,3.247164e-01
9.899741e-08,1.029521e+00,3.237294e-01
1.040363e-07,1.029487e+00,3.222710e-01
1.090751e-07,1.029453e+00,3.213923e-01
1.141140e-07,1.029420e+00,3.204667e-01
1.191528e-07,1.029386e+00,3.192250e-01
1.241916e-07,1.029353e+00,3.183479e-01
1.292305e-07,1.029319e+00,3.176208e-01
1.342693e-07,1.029286e+00,3.168221e-01
1.393082e-07,1.029253e+00,3.160644e-01
1.443470e-07,1.029220e+00,3.151817e-01
1.493859e-07,1.029187e+00,3.147644e-01
1.544247e-07,1.029154e+00,3.141044e-01
1.594636e-07,1.029121e+00,3.135597e-01
1.645024e-07,1.029088e+00,3.130027e-01
1.695413e-07,1.029055e+00,3.124401e-01
1.745801e-07,1.029022e+00,3.115631e-01
1.796190e-07,1.028990e+00,3.113670e-01
1.846578e-07,1.028957e+00,3.106216e-01
1.896967e-07,1.028925e+00,3.102094e-01
1.947355e-07,1.028892e+00,3.097084e-01
2.007821e-07,1.028855e+00,3.092013e-01
2.080381e-07,1.028812e+00,3.086308e-01
2.167452e-07,1.028760e+00,3.079862e-01
2.271938e-07,1.028699e+00,3.072620e-01
2.397320e-07,1.028625e+00,3.064562e-01
2.547779e-07,1.028537e+00,3.055702e-01
2.728331e-07,1.028432e+00,3.046092e-01
2.944992e-07,1.028306e+00,3.034675e-01
3.204985e-07,1.028156e+00,3.023243e-01
3.516977e-07,1.027976e+00,3.011186e-01
3.891368e-07,1.027762e+00,3.000284e-01
4.340637e-07,1.027507e+00,2.988441e-01
4.879759e-07,1.027203e+00,2.974422e-01
5.526706e-07,1.026840e+00,2.962304e-01
6.303043e-07,1.026407e+00,2.952019e-01
7.079379e-07,1.025954e+00,2.940882e-01
7.855716e-07,1.025496e+00,2.934255e-01
8.632052e-07,1.025036e+00,2.925882e-01
9.408388e-07,1.024578e+00,2.921701e-01
1.033999e-06,1.024060e+00,2.914439e-01
1.127160e-06,1.023524e+00,2.909777e-01
1.238952e-06,1.022910e+00,2.904327e-01
1.373103e-06,1.022186e+00,2.897793e-01
1.534084e-06,1.021325e+00,2.890420e-01
1.727261e-06,1.020298e+00,2.881848e-01
1.959074e-06,1.019076e+00,2.874358e-01
2.190887e-06,1.017798e+00,2.863462e-01
2.469062e-06,1.016332e+00,2.853747e-01
2.747238e-06,1.014818e+00,2.841062e-01
3.081048e-06,1.013090e+00,2.829745e-01
3.414859e-06,1.011311e+00,2.815042e-01
3.815431e-06,1.009284e+00,2.800132e-01
4.296118e-06,1.006917e+00,2.782797e-01
4.872943e-06,1.004135e+00,2.762510e-01
5.565132e-06,1.000868e+00,2.738796e-01
6.395759e-06,9.970426e-01,2.711182e-01
7.392512e-06,9.925852e-01,2.679191e-01
8.588615e-06,9.874202e-01,2.642369e-01
1.002394e-05,9.814756e-01,2.600322e-01
1.174633e-05,9.746885e-01,2.553672e-01
1.381319e-05,9.670132e-01,2.500120e-01
1.629343e-05,9.584304e-01,2.441316e-01
1.926972e-05,9.489591e-01,2.377827e-01
2.284127e-05,9.386689e-01,2.310789e-01
2.712712e-05,9.276894e-01,2.241761e-01
3.227014e-05,9.162209e-01,2.172926e-01
3.844177e-05,9.045351e-01,2.106866e-01
4.584773e-05,8.929554e-01,2.047471e-01
5.473488e-05,8.818523e-01,1.997831e-01
6.473488e-05,8.719972e-01,1.961453e-01
7.473488e-05,8.641475e-01,1.942301e-01
8.473488e-05,8.580860e-01,1.936094e-01
9.473488e-05,8.535116e-01,1.937670e-01
1.047349e-04,8.500959e-01,1.954372e-01
1.147349e-04,8.475847e-01,1.968818e-01
1.247349e-04,8.457732e-01,1.986595e-01
1.347349e-04,8.445035e-01,2.005579e-01
1.447349e-04,8.436541e-01,2.025428e-01
1.547349e-04,8.431317e-01,2.045694e-01
1.647349e-04,8.428643e-01,2.066092e-01
1.747349e-04,8.427961e-01,2.086455e-01
1.847349e-04,8.428837e-01,2.106699e-01
1.947349e-04,8.430930e-01,2.126795e-01
2.047349e-04,8.433972e-01,2.146755e-01
2.147349e-04,8.437756e-01,2.166544e-01
2.247349e-04,8.442113e-01,2.186958e-01
2.347349e-04,8.446916e-01,2.206382e-01
2.447349e-04,8.452063e-01,2.226178e-01
2.547349e-04,8.457477e-01,2.246189e-01
2.647349e-04,8.463095e-01,2.266429e-01
2.747349e-04,8.468872e-01,2.286946e-01
2.847349e-04,8.474773e-01,2.307801e-01
2.947349e-04,8.480770e-01,2.330959e-01
3.047349e-04,8.486849e-01,2.351559e-01
3.147349e-04,8.492996e-01,2.375436e-01
3.247349e-04,8.499206e-01,2.399027e-01
3.347349e-04,8.505475e-01,2.422967e-01
3.447349e-04,8.511807e-01,2.447492e-01
3.547349e-04,8.518187e-01,2.489416e-01
3.647349e-04,8.524632e-01,2.518409e-01
3.747349e-04,8.531152e-01,2.548408e-01
3.847349e-04,8.537757e-01,2.579713e-01
3.947349e-04,8.544455e-01,2.612410e-01
4.047349e-04,8.551256e-01,2.647844e-01
4.147349e-04,8.558169e-01,2.684200e-01
4.247349e-04,8.565205e-01,2.722330e-01
4.347349e-04,8.572373e-01,2.764135e-01
4.447349e-04,8.579683e-01,2.806930e-01
4.547349e-04,8.587143e-01,2.853870e-01
4.647349e-04,8.594765e-01,2.901972e-01
4.747349e-04,8.602556e-01,2.954801e-01
4.847349e-04,8.610524e-01,3.008724e-01
4.947349e-04,8.618678e-01,3.067737e-01
5.047349e-04,8.627023e-01,3.130114e-01
5.147349e-04,8.635566e-01,3.195147e-01
5.247349e-04,8.644318e-01,3.259166e-01
5.347349e-04,8.653287e-01,3.322325e-01
5.447349e-04,8.662484e-01,3.383064e-01
5.547349e-04,8.671922e-01,3.435972e-01
5.647349e-04,8.681615e-01,3.480347e-01
5.747349e-04,8.691582e-01,3.505826e-01
5.847349e-04,8.701836e-01,3.522298e-01
5.947349e-04,8.712378e-01,3.535735e-01
6.047349e-04,8.723207e-01,3.544167e-01
6.147349e-04,8.734336e-01,3.531037e-01
6.247349e-04,8.745801e-01,3.472485e-01
6.347349e-04,8.757602e-01,3.408675e-01
6.447349e-04,8.769725e-01,3.345488e-01
6.547349e-04,8.782148e-01,3.285263e-01
